Time,waterless beauty,skin barrier repair,scalp microbiome,body doubling skincare,slugging skincare,peptide serum,retinol alternative,lip liner,liquid blush,Solid perfume,glass skin,SPF makeup,tinted moisturizer,clean girl makeup,retinol serum,skincare makeup
4/1/2024,0,2,0,0,0,6,1,33,8,2,10,2,26,2,21,5
5/1/2024,0,1,0,0,0,5,1,29,8,2,10,3,27,1,15,4
6/1/2024,0,1,0,0,0,5,0,32,8,2,10,2,24,1,17,5
7/1/2024,0,1,0,0,0,5,1,36,8,2,11,2,21,1,18,5
8/1/2024,0,1,0,0,0,5,0,36,8,2,11,2,18,1,17,4
9/1/2024,0,1,0,0,0,5,0,35,7,2,11,1,17,1,16,4
10/1/2024,0,1,0,0,0,5,1,41,7,2,10,1,18,1,17,5
11/1/2024,0,1,0,0,0,6,1,46,9,2,11,2,19,1,16,7
12/1/2024,0,2,0,0,0,6,1,52,10,3,12,2,19,1,18,7
1/1/2025,0,2,0,0,0,8,1,49,8,3,14,2,22,1,20,5
2/1/2025,0,2,0,0,0,8,1,47,8,2,13,2,23,1,18,5
3/1/2025,0,2,0,0,0,7,1,43,8,2,13,2,29,1,18,5
4/1/2025,0,2,0,0,0,7,1,41,8,3,13,3,30,1,18,5
5/1/2025,0,2,0,0,0,6,1,41,8,2,12,3,30,1,18,5
6/1/2025,0,2,0,0,0,8,1,44,7,2,12,3,31,1,16,5
7/1/2025,0,2,0,0,0,11,1,55,11,3,16,3,25,1,25,6
8/1/2025,0,2,0,0,0,9,1,49,8,2,14,2,20,1,20,5
9/1/2025,0,2,0,0,0,9,1,48,6,2,13,2,17,1,18,5
10/1/2025,0,2,0,0,0,11,1,48,7,2,15,2,18,1,20,5
11/1/2025,0,3,0,0,0,14,1,64,11,4,19,2,22,1,29,8
12/1/2025,0,4,0,0,0,14,1,63,10,4,20,2,18,1,26,10
1/1/2026,0,4,0,0,0,17,1,53,8,3,19,3,19,1,30,9
2/1/2026,0,4,0,0,0,17,1,51,10,5,25,3,22,1,30,10
3/1/2026,0,6,1,0,0,29,2,58,16,8,39,13,43,1,47,10
4/1/2026,1,7,1,0,0,55,5,100,57,31,100,45,81,1,90,15
